,dst_port,protocol,length,Dst_ip_range,Direction,Class
79,d-111,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
80,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
81,d-23,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
82,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
83,d-995,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
84,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
85,d-445,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
86,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
87,d-443,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
88,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
89,d-53,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
90,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
91,d-80,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
92,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
93,d-443,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
94,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
95,d-445,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
96,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
97,d-995,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
98,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
99,d-23,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
100,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
101,d-111,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
102,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
103,d-587,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
104,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
105,d-135,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
106,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
107,d-143,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
108,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
109,d-993,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
110,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
111,d-256,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
112,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
113,d-25,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
114,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
115,d-21,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
116,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
117,d-113,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
118,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
119,d-139,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
120,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
121,d-199,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
122,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
123,d-748,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
124,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
125,d-860,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
126,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
127,d-909,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
128,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
129,d-1022,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
130,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
131,d-393,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
132,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
133,d-25,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
134,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
135,d-21,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
136,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
137,d-113,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
138,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
139,d-139,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
140,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
141,d-199,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
142,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
143,d-748,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
144,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
145,d-860,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
146,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
147,d-909,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
148,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
149,d-1022,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
150,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
151,d-393,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
152,d-60477,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
153,d-364,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
154,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
155,d-134,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
156,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
157,d-773,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
158,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
159,d-567,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
160,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
161,d-915,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
162,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
163,d-217,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
164,d-60476,p-TCP,l-2,r-PRIVATE,x-OUT,c-NaN
