,,,,,,1,2,3,4,5,6
c-CNC_COM,,,,,,,,,,,
d-0,,,,,,,,,,,
p-ICMP,,,,,,,,,,,
x-OUT,,,,,,,,,,,
r-PRIVATE,,,,,,,,,,,
l-2,,,,,,,,,,,
p-TCP,,,,,,,,,,,
c-NaN,,,,,,,,,,,
d-57314,l-2,r-PRIVATE,,,,,,,,,
d-57314,l-2,x-OUT,,,,,,,,,
d-57314,r-PRIVATE,x-OUT,,,,,,,,,
d-57322,l-2,r-PRIVATE,,,,,,,,,
d-57322,l-2,x-OUT,,,,,,,,,
d-57322,r-PRIVATE,x-OUT,,,,,,,,,
d-57324,l-2,r-PRIVATE,,,,,,,,,
d-57324,l-2,x-OUT,,,,,,,,,
d-57324,r-PRIVATE,x-OUT,,,,,,,,,
d-57326,l-2,r-PRIVATE,,,,,,,,,
d-57326,l-2,x-OUT,,,,,,,,,
d-57326,r-PRIVATE,x-OUT,,,,,,,,,
d-57328,l-2,r-PRIVATE,,,,,,,,,
d-57328,l-2,x-OUT,,,,,,,,,
d-57328,r-PRIVATE,x-OUT,,,,,,,,,
d-57330,l-2,r-PRIVATE,,,,,,,,,
d-57330,l-2,x-OUT,,,,,,,,,
d-57330,r-PRIVATE,x-OUT,,,,,,,,,
d-57332,l-2,r-PRIVATE,,,,,,,,,
d-57332,l-2,x-OUT,,,,,,,,,
d-57332,r-PRIVATE,x-OUT,,,,,,,,,
d-57340,l-2,r-PRIVATE,,,,,,,,,
d-57340,l-2,x-OUT,,,,,,,,,
d-57340,r-PRIVATE,x-OUT,,,,,,,,,
d-57344,l-2,r-PRIVATE,,,,,,,,,
d-57344,l-2,x-OUT,,,,,,,,,
d-57344,r-PRIVATE,x-OUT,,,,,,,,,
d-57348,l-2,r-PRIVATE,,,,,,,,,
d-57348,l-2,x-OUT,,,,,,,,,
d-57348,r-PRIVATE,x-OUT,,,,,,,,,
d-57350,l-2,r-PRIVATE,,,,,,,,,
d-57350,l-2,x-OUT,,,,,,,,,
d-57350,r-PRIVATE,x-OUT,,,,,,,,,
d-57352,l-2,r-PRIVATE,,,,,,,,,
d-57352,l-2,x-OUT,,,,,,,,,
d-57352,r-PRIVATE,x-OUT,,,,,,,,,
d-57356,l-2,r-PRIVATE,,,,,,,,,
d-57356,l-2,x-OUT,,,,,,,,,
d-57356,r-PRIVATE,x-OUT,,,,,,,,,
d-57358,l-2,r-PRIVATE,,,,,,,,,
d-57358,l-2,x-OUT,,,,,,,,,
d-57358,r-PRIVATE,x-OUT,,,,,,,,,
d-57360,l-2,r-PRIVATE,,,,,,,,,
d-57360,l-2,x-OUT,,,,,,,,,
d-57360,r-PRIVATE,x-OUT,,,,,,,,,
d-57362,l-2,r-PRIVATE,,,,,,,,,
d-57362,l-2,x-OUT,,,,,,,,,
d-57362,r-PRIVATE,x-OUT,,,,,,,,,
d-57364,l-2,r-PRIVATE,,,,,,,,,
d-57364,l-2,x-OUT,,,,,,,,,
d-57364,r-PRIVATE,x-OUT,,,,,,,,,
d-57366,l-2,r-PRIVATE,,,,,,,,,
d-57366,l-2,x-OUT,,,,,,,,,
d-57366,r-PRIVATE,x-OUT,,,,,,,,,
d-57370,l-2,r-PRIVATE,,,,,,,,,
d-57370,l-2,x-OUT,,,,,,,,,
d-57370,r-PRIVATE,x-OUT,,,,,,,,,
d-57372,l-2,r-PRIVATE,,,,,,,,,
d-57372,l-2,x-OUT,,,,,,,,,
d-57372,r-PRIVATE,x-OUT,,,,,,,,,
d-57378,l-2,r-PRIVATE,,,,,,,,,
d-57378,l-2,x-OUT,,,,,,,,,
d-57378,r-PRIVATE,x-OUT,,,,,,,,,
d-57380,l-2,r-PRIVATE,,,,,,,,,
d-57380,l-2,x-OUT,,,,,,,,,
d-57380,r-PRIVATE,x-OUT,,,,,,,,,
d-57386,l-2,r-PRIVATE,,,,,,,,,
d-57386,l-2,x-OUT,,,,,,,,,
d-57386,r-PRIVATE,x-OUT,,,,,,,,,
d-57390,l-2,r-PRIVATE,,,,,,,,,
d-57390,l-2,x-OUT,,,,,,,,,
d-57390,r-PRIVATE,x-OUT,,,,,,,,,
d-57392,l-2,r-PRIVATE,,,,,,,,,
d-57392,l-2,x-OUT,,,,,,,,,
d-57392,r-PRIVATE,x-OUT,,,,,,,,,
d-57398,l-2,r-PRIVATE,,,,,,,,,
d-57398,l-2,x-OUT,,,,,,,,,
d-57398,r-PRIVATE,x-OUT,,,,,,,,,
d-57400,l-2,r-PRIVATE,,,,,,,,,
d-57400,l-2,x-OUT,,,,,,,,,
d-57400,r-PRIVATE,x-OUT,,,,,,,,,
d-57402,l-2,r-PRIVATE,,,,,,,,,
d-57402,l-2,x-OUT,,,,,,,,,
d-57402,r-PRIVATE,x-OUT,,,,,,,,,
d-57404,l-2,r-PRIVATE,,,,,,,,,
d-57404,l-2,x-OUT,,,,,,,,,
d-57404,r-PRIVATE,x-OUT,,,,,,,,,
d-57408,l-2,r-PRIVATE,,,,,,,,,
d-57408,l-2,x-OUT,,,,,,,,,
d-57408,r-PRIVATE,x-OUT,,,,,,,,,
d-57412,l-2,r-PRIVATE,,,,,,,,,
d-57412,l-2,x-OUT,,,,,,,,,
d-57412,r-PRIVATE,x-OUT,,,,,,,,,
d-57416,l-2,r-PRIVATE,,,,,,,,,
d-57416,l-2,x-OUT,,,,,,,,,
d-57416,r-PRIVATE,x-OUT,,,,,,,,,
d-57418,l-2,r-PRIVATE,,,,,,,,,
d-57418,l-2,x-OUT,,,,,,,,,
d-57418,r-PRIVATE,x-OUT,,,,,,,,,
d-57420,l-2,r-PRIVATE,,,,,,,,,
d-57420,l-2,x-OUT,,,,,,,,,
d-57420,r-PRIVATE,x-OUT,,,,,,,,,
d-57422,l-2,r-PRIVATE,,,,,,,,,
d-57422,l-2,x-OUT,,,,,,,,,
d-57422,r-PRIVATE,x-OUT,,,,,,,,,
d-57424,l-2,r-PRIVATE,,,,,,,,,
d-57424,l-2,x-OUT,,,,,,,,,
d-57424,r-PRIVATE,x-OUT,,,,,,,,,
d-57426,l-2,r-PRIVATE,,,,,,,,,
d-57426,l-2,x-OUT,,,,,,,,,
d-57426,r-PRIVATE,x-OUT,,,,,,,,,
d-57428,l-2,r-PRIVATE,,,,,,,,,
d-57428,l-2,x-OUT,,,,,,,,,
d-57428,r-PRIVATE,x-OUT,,,,,,,,,
d-57434,l-2,r-PRIVATE,,,,,,,,,
d-57434,l-2,x-OUT,,,,,,,,,
d-57434,r-PRIVATE,x-OUT,,,,,,,,,
d-57436,l-2,r-PRIVATE,,,,,,,,,
d-57436,l-2,x-OUT,,,,,,,,,
d-57436,r-PRIVATE,x-OUT,,,,,,,,,
d-57438,l-2,r-PRIVATE,,,,,,,,,
d-57438,l-2,x-OUT,,,,,,,,,
d-57438,r-PRIVATE,x-OUT,,,,,,,,,
d-57440,l-2,r-PRIVATE,,,,,,,,,
d-57440,l-2,x-OUT,,,,,,,,,
d-57440,r-PRIVATE,x-OUT,,,,,,,,,
d-57442,l-2,r-PRIVATE,,,,,,,,,
d-57442,l-2,x-OUT,,,,,,,,,
d-57442,r-PRIVATE,x-OUT,,,,,,,,,
d-57444,l-2,r-PRIVATE,,,,,,,,,
d-57444,l-2,x-OUT,,,,,,,,,
d-57444,r-PRIVATE,x-OUT,,,,,,,,,
d-57446,l-2,r-PRIVATE,,,,,,,,,
d-57446,l-2,x-OUT,,,,,,,,,
d-57446,r-PRIVATE,x-OUT,,,,,,,,,
d-57448,l-2,r-PRIVATE,,,,,,,,,
d-57448,l-2,x-OUT,,,,,,,,,
d-57448,r-PRIVATE,x-OUT,,,,,,,,,
c-NaN,d-60732,l-2,,,,,,,,,
c-NaN,d-60732,p-TCP,,,,,,,,,
c-NaN,d-60732,r-PRIVATE,,,,,,,,,
c-NaN,d-60732,x-OUT,,,,,,,,,
d-60732,l-2,p-TCP,,,,,,,,,
d-60732,l-2,r-PRIVATE,,,,,,,,,
d-60732,l-2,x-OUT,,,,,,,,,
d-60732,p-TCP,r-PRIVATE,,,,,,,,,
d-60732,p-TCP,x-OUT,,,,,,,,,
d-60732,r-PRIVATE,x-OUT,,,,,,,,,
c-NaN,d-60733,l-2,,,,,,,,,
c-NaN,d-60733,p-TCP,,,,,,,,,
c-NaN,d-60733,r-PRIVATE,,,,,,,,,
c-NaN,d-60733,x-OUT,,,,,,,,,
d-60733,l-2,p-TCP,,,,,,,,,
d-60733,l-2,r-PRIVATE,,,,,,,,,
d-60733,l-2,x-OUT,,,,,,,,,
d-60733,p-TCP,r-PRIVATE,,,,,,,,,
d-60733,p-TCP,x-OUT,,,,,,,,,
d-60733,r-PRIVATE,x-OUT,,,,,,,,,
c-NaN,d-60734,l-2,,,,,,,,,
c-NaN,d-60734,p-TCP,,,,,,,,,
c-NaN,d-60734,r-PRIVATE,,,,,,,,,
c-NaN,d-60734,x-OUT,,,,,,,,,
d-60734,l-2,p-TCP,,,,,,,,,
d-60734,l-2,r-PRIVATE,,,,,,,,,
d-60734,l-2,x-OUT,,,,,,,,,
d-60734,p-TCP,r-PRIVATE,,,,,,,,,
d-60734,p-TCP,x-OUT,,,,,,,,,
d-60734,r-PRIVATE,x-OUT,,,,,,,,,
d-57452,l-2,r-PRIVATE,,,,,,,,,
d-57452,l-2,x-OUT,,,,,,,,,
d-57452,r-PRIVATE,x-OUT,,,,,,,,,
d-57454,l-2,r-PRIVATE,,,,,,,,,
d-57454,l-2,x-OUT,,,,,,,,,
d-57454,r-PRIVATE,x-OUT,,,,,,,,,
d-57456,l-2,r-PRIVATE,,,,,,,,,
d-57456,l-2,x-OUT,,,,,,,,,
d-57456,r-PRIVATE,x-OUT,,,,,,,,,
d-57462,l-2,r-PRIVATE,,,,,,,,,
d-57462,l-2,x-OUT,,,,,,,,,
d-57462,r-PRIVATE,x-OUT,,,,,,,,,
d-57464,l-2,r-PRIVATE,,,,,,,,,
d-57464,l-2,x-OUT,,,,,,,,,
d-57464,r-PRIVATE,x-OUT,,,,,,,,,
d-57468,l-2,r-PRIVATE,,,,,,,,,
d-57468,l-2,x-OUT,,,,,,,,,
d-57468,r-PRIVATE,x-OUT,,,,,,,,,
d-57470,l-2,r-PRIVATE,,,,,,,,,
d-57470,l-2,x-OUT,,,,,,,,,
d-57470,r-PRIVATE,x-OUT,,,,,,,,,
d-57474,l-2,r-PRIVATE,,,,,,,,,
d-57474,l-2,x-OUT,,,,,,,,,
d-57474,r-PRIVATE,x-OUT,,,,,,,,,
d-57476,l-2,r-PRIVATE,,,,,,,,,
d-57476,l-2,x-OUT,,,,,,,,,
d-57476,r-PRIVATE,x-OUT,,,,,,,,,
d-57478,l-2,r-PRIVATE,,,,,,,,,
d-57478,l-2,x-OUT,,,,,,,,,
d-57478,r-PRIVATE,x-OUT,,,,,,,,,
d-57480,l-2,r-PRIVATE,,,,,,,,,
d-57480,l-2,x-OUT,,,,,,,,,
d-57480,r-PRIVATE,x-OUT,,,,,,,,,
d-57482,l-2,r-PRIVATE,,,,,,,,,
d-57482,l-2,x-OUT,,,,,,,,,
d-57482,r-PRIVATE,x-OUT,,,,,,,,,
d-57484,l-2,r-PRIVATE,,,,,,,,,
d-57484,l-2,x-OUT,,,,,,,,,
d-57484,r-PRIVATE,x-OUT,,,,,,,,,
d-57488,l-2,r-PRIVATE,,,,,,,,,
d-57488,l-2,x-OUT,,,,,,,,,
d-57488,r-PRIVATE,x-OUT,,,,,,,,,
d-57492,l-2,r-PRIVATE,,,,,,,,,
d-57492,l-2,x-OUT,,,,,,,,,
d-57492,r-PRIVATE,x-OUT,,,,,,,,,
d-57500,l-2,r-PRIVATE,,,,,,,,,
d-57500,l-2,x-OUT,,,,,,,,,
d-57500,r-PRIVATE,x-OUT,,,,,,,,,
d-57502,l-2,r-PRIVATE,,,,,,,,,
d-57502,l-2,x-OUT,,,,,,,,,
d-57502,r-PRIVATE,x-OUT,,,,,,,,,
d-57504,l-2,r-PRIVATE,,,,,,,,,
d-57504,l-2,x-OUT,,,,,,,,,
d-57504,r-PRIVATE,x-OUT,,,,,,,,,
d-57506,l-2,r-PRIVATE,,,,,,,,,
d-57506,l-2,x-OUT,,,,,,,,,
d-57506,r-PRIVATE,x-OUT,,,,,,,,,
d-57508,l-2,r-PRIVATE,,,,,,,,,
d-57508,l-2,x-OUT,,,,,,,,,
d-57508,r-PRIVATE,x-OUT,,,,,,,,,
d-57510,l-2,r-PRIVATE,,,,,,,,,
d-57510,l-2,x-OUT,,,,,,,,,
d-57510,r-PRIVATE,x-OUT,,,,,,,,,
d-57514,l-2,r-PRIVATE,,,,,,,,,
d-57514,l-2,x-OUT,,,,,,,,,
d-57514,r-PRIVATE,x-OUT,,,,,,,,,
d-57516,l-2,r-PRIVATE,,,,,,,,,
d-57516,l-2,x-OUT,,,,,,,,,
d-57516,r-PRIVATE,x-OUT,,,,,,,,,
d-57518,l-2,r-PRIVATE,,,,,,,,,
d-57518,l-2,x-OUT,,,,,,,,,
d-57518,r-PRIVATE,x-OUT,,,,,,,,,
d-57520,l-2,r-PRIVATE,,,,,,,,,
d-57520,l-2,x-OUT,,,,,,,,,
d-57520,r-PRIVATE,x-OUT,,,,,,,,,
d-57524,l-2,r-PRIVATE,,,,,,,,,
d-57524,l-2,x-OUT,,,,,,,,,
d-57524,r-PRIVATE,x-OUT,,,,,,,,,
d-57528,l-2,r-PRIVATE,,,,,,,,,
d-57528,l-2,x-OUT,,,,,,,,,
d-57528,r-PRIVATE,x-OUT,,,,,,,,,
d-57530,l-2,r-PRIVATE,,,,,,,,,
d-57530,l-2,x-OUT,,,,,,,,,
d-57530,r-PRIVATE,x-OUT,,,,,,,,,
d-57532,l-2,r-PRIVATE,,,,,,,,,
d-57532,l-2,x-OUT,,,,,,,,,
d-57532,r-PRIVATE,x-OUT,,,,,,,,,
d-57534,l-2,r-PRIVATE,,,,,,,,,
d-57534,l-2,x-OUT,,,,,,,,,
d-57534,r-PRIVATE,x-OUT,,,,,,,,,
d-57536,l-2,r-PRIVATE,,,,,,,,,
d-57536,l-2,x-OUT,,,,,,,,,
d-57536,r-PRIVATE,x-OUT,,,,,,,,,
d-57538,l-2,r-PRIVATE,,,,,,,,,
d-57538,l-2,x-OUT,,,,,,,,,
d-57538,r-PRIVATE,x-OUT,,,,,,,,,
d-57540,l-2,r-PRIVATE,,,,,,,,,
d-57540,l-2,x-OUT,,,,,,,,,
d-57540,r-PRIVATE,x-OUT,,,,,,,,,
d-57542,l-2,r-PRIVATE,,,,,,,,,
d-57542,l-2,x-OUT,,,,,,,,,
d-57542,r-PRIVATE,x-OUT,,,,,,,,,
d-57544,l-2,r-PRIVATE,,,,,,,,,
d-57544,l-2,x-OUT,,,,,,,,,
d-57544,r-PRIVATE,x-OUT,,,,,,,,,
d-57546,l-2,r-PRIVATE,,,,,,,,,
d-57546,l-2,x-OUT,,,,,,,,,
d-57546,r-PRIVATE,x-OUT,,,,,,,,,
d-57554,l-2,r-PRIVATE,,,,,,,,,
d-57554,l-2,x-OUT,,,,,,,,,
d-57554,r-PRIVATE,x-OUT,,,,,,,,,
d-57558,l-2,r-PRIVATE,,,,,,,,,
d-57558,l-2,x-OUT,,,,,,,,,
d-57558,r-PRIVATE,x-OUT,,,,,,,,,
d-57560,l-2,r-PRIVATE,,,,,,,,,
d-57560,l-2,x-OUT,,,,,,,,,
d-57560,r-PRIVATE,x-OUT,,,,,,,,,
d-57566,l-2,r-PRIVATE,,,,,,,,,
d-57566,l-2,x-OUT,,,,,,,,,
d-57566,r-PRIVATE,x-OUT,,,,,,,,,
d-57568,l-2,r-PRIVATE,,,,,,,,,
d-57568,l-2,x-OUT,,,,,,,,,
d-57568,r-PRIVATE,x-OUT,,,,,,,,,
d-57574,l-2,r-PRIVATE,,,,,,,,,
d-57574,l-2,x-OUT,,,,,,,,,
d-57574,r-PRIVATE,x-OUT,,,,,,,,,
d-57578,l-2,r-PRIVATE,,,,,,,,,
d-57578,l-2,x-OUT,,,,,,,,,
d-57578,r-PRIVATE,x-OUT,,,,,,,,,
d-57580,l-2,r-PRIVATE,,,,,,,,,
d-57580,l-2,x-OUT,,,,,,,,,
d-57580,r-PRIVATE,x-OUT,,,,,,,,,
d-57582,l-2,r-PRIVATE,,,,,,,,,
d-57582,l-2,x-OUT,,,,,,,,,
d-57582,r-PRIVATE,x-OUT,,,,,,,,,
d-57584,l-2,r-PRIVATE,,,,,,,,,
d-57584,l-2,x-OUT,,,,,,,,,
d-57584,r-PRIVATE,x-OUT,,,,,,,,,
d-57586,l-2,r-PRIVATE,,,,,,,,,
d-57586,l-2,x-OUT,,,,,,,,,
d-57586,r-PRIVATE,x-OUT,,,,,,,,,
d-57590,l-2,r-PRIVATE,,,,,,,,,
d-57590,l-2,x-OUT,,,,,,,,,
d-57590,r-PRIVATE,x-OUT,,,,,,,,,
c-SCAN,d-57598,l-2,,,,,,,,,
c-SCAN,d-57598,p-TCP,,,,,,,,,
c-SCAN,d-57598,r-PRIVATE,,,,,,,,,
c-SCAN,d-57598,x-OUT,,,,,,,,,
d-57598,l-2,p-TCP,,,,,,,,,
d-57598,l-2,r-PRIVATE,,,,,,,,,
d-57598,l-2,x-OUT,,,,,,,,,
d-57598,p-TCP,r-PRIVATE,,,,,,,,,
d-57598,p-TCP,x-OUT,,,,,,,,,
d-57598,r-PRIVATE,x-OUT,,,,,,,,,
c-LOGIN,d-57598,l-2,,,,,,,,,
c-LOGIN,d-57598,r-PRIVATE,,,,,,,,,
c-LOGIN,d-57598,x-OUT,,,,,,,,,
c-LOGIN,d-57598,p-SSHv2,,,,,,,,,
d-57598,l-2,p-SSHv2,,,,,,,,,
d-57598,p-SSHv2,r-PRIVATE,,,,,,,,,
d-57598,p-SSHv2,x-OUT,,,,,,,,,
c-MAL_DOWN,d-21,l-2,,,,,,,,,
c-MAL_DOWN,d-21,p-TCP,,,,,,,,,
c-MAL_DOWN,d-21,r-PRIVATE,,,,,,,,,
c-MAL_DOWN,d-21,x-OUT,,,,,,,,,
c-MAL_DOWN,l-2,p-TCP,,,,,,,,,
c-MAL_DOWN,l-2,r-PRIVATE,,,,,,,,,
c-MAL_DOWN,l-2,x-OUT,,,,,,,,,
c-MAL_DOWN,p-TCP,r-PRIVATE,,,,,,,,,
c-MAL_DOWN,p-TCP,x-OUT,,,,,,,,,
c-MAL_DOWN,r-PRIVATE,x-OUT,,,,,,,,,
c-MAL_DOWN,d-36716,l-2,,,,,,,,,
c-MAL_DOWN,d-36716,r-PRIVATE,,,,,,,,,
c-MAL_DOWN,d-36716,x-OUT,,,,,,,,,
d-36716,l-2,r-PRIVATE,,,,,,,,,
d-36716,l-2,x-OUT,,,,,,,,,
d-36716,r-PRIVATE,x-OUT,,,,,,,,,
c-MAL_DOWN,d-36716,p-FTP,,,,,,,,,
c-MAL_DOWN,l-2,p-FTP,,,,,,,,,
c-MAL_DOWN,p-FTP,r-PRIVATE,,,,,,,,,
c-MAL_DOWN,p-FTP,x-OUT,,,,,,,,,
d-36716,l-2,p-FTP,,,,,,,,,
d-36716,p-FTP,r-PRIVATE,,,,,,,,,
d-36716,p-FTP,x-OUT,,,,,,,,,
l-2,p-FTP,r-PRIVATE,,,,,,,,,
l-2,p-FTP,x-OUT,,,,,,,,,
p-FTP,r-PRIVATE,x-OUT,,,,,,,,,
c-MAL_DOWN,d-21,p-FTP,,,,,,,,,
d-21,l-2,p-FTP,,,,,,,,,
d-21,p-FTP,r-PRIVATE,,,,,,,,,
d-21,p-FTP,x-OUT,,,,,,,,,
c-CNC_COM,d-7000,l-2,,,,,,,,,
c-CNC_COM,d-7000,p-TCP,,,,,,,,,
c-CNC_COM,d-7000,r-PRIVATE,,,,,,,,,
c-CNC_COM,d-7000,x-OUT,,,,,,,,,
c-CNC_COM,l-2,p-TCP,,,,,,,,,
c-CNC_COM,p-TCP,r-PRIVATE,,,,,,,,,
c-CNC_COM,p-TCP,x-OUT,,,,,,,,,
d-7000,l-2,p-TCP,,,,,,,,,
d-7000,l-2,r-PRIVATE,,,,,,,,,
d-7000,l-2,x-OUT,,,,,,,,,
d-7000,p-TCP,r-PRIVATE,,,,,,,,,
d-7000,p-TCP,x-OUT,,,,,,,,,
d-7000,r-PRIVATE,x-OUT,,,,,,,,,
c-CNC_COM,d-54847,l-2,,,,,,,,,
c-CNC_COM,d-54847,p-TCP,,,,,,,,,
c-CNC_COM,d-54847,r-PRIVATE,,,,,,,,,
c-CNC_COM,d-54847,x-OUT,,,,,,,,,
d-54847,l-2,p-TCP,,,,,,,,,
d-54847,l-2,r-PRIVATE,,,,,,,,,
d-54847,l-2,x-OUT,,,,,,,,,
d-54847,p-TCP,r-PRIVATE,,,,,,,,,
d-54847,p-TCP,x-OUT,,,,,,,,,
d-54847,r-PRIVATE,x-OUT,,,,,,,,,
d-56252,l-2,r-PRIVATE,,,,,,,,,
d-56252,l-2,x-OUT,,,,,,,,,
d-56252,r-PRIVATE,x-OUT,,,,,,,,,
d-56258,l-2,r-PRIVATE,,,,,,,,,
d-56258,l-2,x-OUT,,,,,,,,,
d-56258,r-PRIVATE,x-OUT,,,,,,,,,
d-56260,l-2,r-PRIVATE,,,,,,,,,
d-56260,l-2,x-OUT,,,,,,,,,
d-56260,r-PRIVATE,x-OUT,,,,,,,,,
d-56262,l-2,r-PRIVATE,,,,,,,,,
d-56262,l-2,x-OUT,,,,,,,,,
d-56262,r-PRIVATE,x-OUT,,,,,,,,,
d-56264,l-2,r-PRIVATE,,,,,,,,,
d-56264,l-2,x-OUT,,,,,,,,,
d-56264,r-PRIVATE,x-OUT,,,,,,,,,
d-56266,l-2,r-PRIVATE,,,,,,,,,
d-56266,l-2,x-OUT,,,,,,,,,
d-56266,r-PRIVATE,x-OUT,,,,,,,,,
d-56268,l-2,r-PRIVATE,,,,,,,,,
d-56268,l-2,x-OUT,,,,,,,,,
d-56268,r-PRIVATE,x-OUT,,,,,,,,,
d-56272,l-2,r-PRIVATE,,,,,,,,,
d-56272,l-2,x-OUT,,,,,,,,,
d-56272,r-PRIVATE,x-OUT,,,,,,,,,
d-56270,l-2,r-PRIVATE,,,,,,,,,
d-56270,l-2,x-OUT,,,,,,,,,
d-56270,r-PRIVATE,x-OUT,,,,,,,,,
d-56274,l-2,r-PRIVATE,,,,,,,,,
d-56274,l-2,x-OUT,,,,,,,,,
d-56274,r-PRIVATE,x-OUT,,,,,,,,,
d-56276,l-2,r-PRIVATE,,,,,,,,,
d-56276,l-2,x-OUT,,,,,,,,,
d-56276,r-PRIVATE,x-OUT,,,,,,,,,
d-56278,l-2,r-PRIVATE,,,,,,,,,
d-56278,l-2,x-OUT,,,,,,,,,
d-56278,r-PRIVATE,x-OUT,,,,,,,,,
d-56284,l-2,r-PRIVATE,,,,,,,,,
d-56284,l-2,x-OUT,,,,,,,,,
d-56284,r-PRIVATE,x-OUT,,,,,,,,,
d-56288,l-2,r-PRIVATE,,,,,,,,,
d-56288,l-2,x-OUT,,,,,,,,,
d-56288,r-PRIVATE,x-OUT,,,,,,,,,
d-56290,l-2,r-PRIVATE,,,,,,,,,
d-56290,l-2,x-OUT,,,,,,,,,
d-56290,r-PRIVATE,x-OUT,,,,,,,,,
d-56292,l-2,r-PRIVATE,,,,,,,,,
d-56292,l-2,x-OUT,,,,,,,,,
d-56292,r-PRIVATE,x-OUT,,,,,,,,,
d-56294,l-2,r-PRIVATE,,,,,,,,,
d-56294,l-2,x-OUT,,,,,,,,,
d-56294,r-PRIVATE,x-OUT,,,,,,,,,
d-56296,l-2,r-PRIVATE,,,,,,,,,
d-56296,l-2,x-OUT,,,,,,,,,
d-56296,r-PRIVATE,x-OUT,,,,,,,,,
d-56300,l-2,r-PRIVATE,,,,,,,,,
d-56300,l-2,x-OUT,,,,,,,,,
d-56300,r-PRIVATE,x-OUT,,,,,,,,,
d-56302,l-2,r-PRIVATE,,,,,,,,,
d-56302,l-2,x-OUT,,,,,,,,,
d-56302,r-PRIVATE,x-OUT,,,,,,,,,
d-56304,l-2,r-PRIVATE,,,,,,,,,
d-56304,l-2,x-OUT,,,,,,,,,
d-56304,r-PRIVATE,x-OUT,,,,,,,,,
d-56306,l-2,r-PRIVATE,,,,,,,,,
d-56306,l-2,x-OUT,,,,,,,,,
d-56306,r-PRIVATE,x-OUT,,,,,,,,,
d-56308,l-2,r-PRIVATE,,,,,,,,,
d-56308,l-2,x-OUT,,,,,,,,,
d-56308,r-PRIVATE,x-OUT,,,,,,,,,
d-56312,l-2,r-PRIVATE,,,,,,,,,
d-56312,l-2,x-OUT,,,,,,,,,
d-56312,r-PRIVATE,x-OUT,,,,,,,,,
d-56314,l-2,r-PRIVATE,,,,,,,,,
d-56314,l-2,x-OUT,,,,,,,,,
d-56314,r-PRIVATE,x-OUT,,,,,,,,,
d-56318,l-2,r-PRIVATE,,,,,,,,,
d-56318,l-2,x-OUT,,,,,,,,,
d-56318,r-PRIVATE,x-OUT,,,,,,,,,
d-56320,l-2,r-PRIVATE,,,,,,,,,
d-56320,l-2,x-OUT,,,,,,,,,
d-56320,r-PRIVATE,x-OUT,,,,,,,,,
d-56326,l-2,r-PRIVATE,,,,,,,,,
d-56326,l-2,x-OUT,,,,,,,,,
d-56326,r-PRIVATE,x-OUT,,,,,,,,,
d-56328,l-2,r-PRIVATE,,,,,,,,,
d-56328,l-2,x-OUT,,,,,,,,,
d-56328,r-PRIVATE,x-OUT,,,,,,,,,
d-56332,l-2,r-PRIVATE,,,,,,,,,
d-56332,l-2,x-OUT,,,,,,,,,
d-56332,r-PRIVATE,x-OUT,,,,,,,,,
d-56334,l-2,r-PRIVATE,,,,,,,,,
d-56334,l-2,x-OUT,,,,,,,,,
d-56334,r-PRIVATE,x-OUT,,,,,,,,,
d-56336,l-2,r-PRIVATE,,,,,,,,,
d-56336,l-2,x-OUT,,,,,,,,,
d-56336,r-PRIVATE,x-OUT,,,,,,,,,
d-56338,l-2,r-PRIVATE,,,,,,,,,
d-56338,l-2,x-OUT,,,,,,,,,
d-56338,r-PRIVATE,x-OUT,,,,,,,,,
d-56340,l-2,r-PRIVATE,,,,,,,,,
d-56340,l-2,x-OUT,,,,,,,,,
d-56340,r-PRIVATE,x-OUT,,,,,,,,,
d-56344,l-2,r-PRIVATE,,,,,,,,,
d-56344,l-2,x-OUT,,,,,,,,,
d-56344,r-PRIVATE,x-OUT,,,,,,,,,
d-56346,l-2,r-PRIVATE,,,,,,,,,
d-56346,l-2,x-OUT,,,,,,,,,
d-56346,r-PRIVATE,x-OUT,,,,,,,,,
d-56350,l-2,r-PRIVATE,,,,,,,,,
d-56350,l-2,x-OUT,,,,,,,,,
d-56350,r-PRIVATE,x-OUT,,,,,,,,,
d-56352,l-2,r-PRIVATE,,,,,,,,,
d-56352,l-2,x-OUT,,,,,,,,,
d-56352,r-PRIVATE,x-OUT,,,,,,,,,
d-56356,l-2,r-PRIVATE,,,,,,,,,
d-56356,l-2,x-OUT,,,,,,,,,
d-56356,r-PRIVATE,x-OUT,,,,,,,,,
d-56358,l-2,r-PRIVATE,,,,,,,,,
d-56358,l-2,x-OUT,,,,,,,,,
d-56358,r-PRIVATE,x-OUT,,,,,,,,,
d-56362,l-2,r-PRIVATE,,,,,,,,,
d-56362,l-2,x-OUT,,,,,,,,,
d-56362,r-PRIVATE,x-OUT,,,,,,,,,
d-56364,l-2,r-PRIVATE,,,,,,,,,
d-56364,l-2,x-OUT,,,,,,,,,
d-56364,r-PRIVATE,x-OUT,,,,,,,,,
d-56370,l-2,r-PRIVATE,,,,,,,,,
d-56370,l-2,x-OUT,,,,,,,,,
d-56370,r-PRIVATE,x-OUT,,,,,,,,,
d-56372,l-2,r-PRIVATE,,,,,,,,,
d-56372,l-2,x-OUT,,,,,,,,,
d-56372,r-PRIVATE,x-OUT,,,,,,,,,
